shortname,triples,ours_load_s,ours_detect_s,ours_total_s,ours_el,ours_rl,ours_ql,ours_dl,ours_el_count,ours_rl_count,ours_ql_count,ours_dl_count,robot_total_s,robot_el_s,robot_rl_s,robot_ql_s,robot_dl_s,robot_el,robot_rl,robot_ql,robot_dl,robot_el_count,robot_rl_count,robot_ql_count,robot_dl_count,speedup_cold,verdict_agreement
pets,86,0.000,0.000,0.000,False,True,False,True,1,0,1,0,3.211,0.890,0.761,0.772,0.788,False,False,False,False,4,4,4,3,0.0,MISMATCH
skos,252,0.000,0.000,0.000,False,True,False,True,14,0,5,0,3.102,0.783,0.769,0.767,0.782,False,False,False,False,18,9,13,8,0.0,MISMATCH
pav,344,0.000,0.000,0.000,False,True,False,False,4,0,2,2,3.569,0.857,0.855,0.961,0.897,False,False,False,False,40,27,30,27,0.0,MISMATCH
sulo,374,0.000,0.000,0.000,False,False,False,True,26,6,13,0,4.828,0.973,0.950,1.336,1.569,False,False,False,True,26,22,22,0,0.0,MATCH
pro,464,0.000,0.000,0.000,False,False,False,True,27,8,13,0,16.125,3.462,3.292,5.866,3.504,False,False,False,True,26,22,22,0,0.0,MATCH
dcterms,700,0.000,0.000,0.000,True,True,True,False,0,0,0,2,6.911,1.927,1.665,1.670,1.650,False,False,False,False,686,677,677,566,0.0,MISMATCH
bfo,1221,0.000,0.000,0.000,True,True,True,True,0,0,0,0,4.596,1.267,1.097,1.100,1.131,True,False,True,True,0,1,0,0,0.0,MISMATCH
prov,1917,0.000,0.000,0.000,False,False,False,False,76,30,58,4,18.219,3.607,3.765,4.872,5.975,False,False,False,False,292,207,235,179,0.0,MATCH
dul,1917,0.000,0.000,0.000,False,False,False,True,115,15,36,0,6.068,1.459,1.681,1.458,1.470,False,False,False,True,114,58,68,0,0.0,MATCH
pizza,1924,0.000,0.000,0.000,False,False,False,True,56,14,36,0,15.329,3.784,3.389,3.646,4.509,False,False,False,True,62,99,79,0,0.0,MATCH
dcat,3440,0.000,0.000,0.000,False,False,False,False,29,14,30,6,23.731,5.323,6.123,5.837,6.448,False,False,False,False,836,798,832,670,0.0,MATCH
family,5017,0.000,0.000,0.000,False,False,False,True,59,27,53,0,5.599,1.318,1.408,1.414,1.459,False,False,False,True,55,54,95,0,0.0,MATCH
ro,11640,0.000,0.000,0.000,False,False,False,True,279,168,253,0,-10.111,2.078,2.124,2.051,-16.364,False,False,False,True,314,70,286,0,0.0,MATCH
sdo,17949,0.000,0.000,0.000,True,True,True,False,0,0,0,8,9.979,2.332,2.708,2.561,2.378,False,False,False,False,7768,7768,7768,7768,0.0,MISMATCH
obi,116121,0.000,0.000,0.000,False,False,False,True,256,30,316,0,15.462,3.764,4.244,3.652,3.802,False,False,False,True,259,4395,3031,0,0.0,MATCH
hdo,328970,0.000,0.000,0.000,False,False,False,True,145,21,145,0,51.368,15.285,11.116,13.730,11.237,False,False,False,True,145,10447,969,0,0.0,MATCH
ordo,606476,0.000,0.000,0.000,True,True,False,True,0,0,4552,0,37.896,8.483,8.799,11.625,8.989,True,False,False,True,0,25735,4552,0,0.0,MISMATCH
cl,777527,0.000,0.000,0.000,False,False,False,True,638,590,945,0,43.313,9.270,13.641,10.511,9.890,False,False,False,True,636,35387,14459,0,0.0,MATCH
hp,908112,0.000,0.000,0.000,False,False,False,True,233,102,271,0,52.209,14.673,14.087,12.514,10.935,False,False,False,True,231,27362,13051,0,0.0,MATCH
